2026-01-09 17:31:36,718 | INFO | test.lifecycle | Scenario passed: Verify Top Rated category filter works
2026-01-09 17:31:36,718 | INFO | test.lifecycle | Added passed test result to report: Verify Top Rated category filter works
2026-01-09 17:31:36,719 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:31:40,076 | INFO | test.lifecycle | Browser closed
2026-01-09 17:31:40,078 | INFO | test.lifecycle | === SCENARIO: Verify TV Shows type filter works ===
2026-01-09 17:31:40,078 | INFO | test.lifecycle | Browser launch
2026-01-09 17:31:48,700 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:31:48,704 | INFO | pages.discover_page | Page navigation
2026-01-09 17:31:53,936 | INFO | pages.discover_page | Navigated to: https://tmdb-discover.surge.sh/
2026-01-09 17:31:54,539 | INFO | pages.discover_page | Page fully loaded and ready
2026-01-09 17:31:55,180 | INFO | step.verification | step_verify_results called
2026-01-09 17:32:00,538 | INFO | step.verification | Found 20 results
2026-01-09 17:32:00,538 | INFO | step.verification | About to call debug_year_values()
2026-01-09 17:32:00,743 | INFO | pages.discover_page | DEBUG - Start year: '1900', End year: '2025'
2026-01-09 17:32:00,744 | INFO | pages.discover_page | DEBUG - Same year allowed: False
2026-01-09 17:32:00,744 | INFO | step.verification | Finished calling debug_year_values()
2026-01-09 17:32:00,745 | INFO | test.lifecycle | Scenario passed: Verify TV Shows type filter works
2026-01-09 17:32:00,745 | INFO | test.lifecycle | Added passed test result to report: Verify TV Shows type filter works
2026-01-09 17:32:00,746 | INFO | test.lifecycle | Browser teardown
2026-01-09 17:32:03,445 | INFO | test.lifecycle | Browser closed
2026-01-09 17:32:03,450 | INFO | test.lifecycle | === SCENARIO: Access category via direct URL (known defect) ===
2026-01-09 17:32:03,450 | INFO | test.lifecycle | Browser launch
2026-01-09 17:32:18,843 | INFO | test.lifecycle | Browser launched successfully
2026-01-09 17:32:21,968 | INFO | step.verification | step_verify_results called
2026-01-09 17:32:52,678 | INFO | step.verification | Found 0 results
2026-01-09 17:32:52,682 | ERROR | test.lifecycle | Test failure / exception occurred
2026-01-09 17:32:52,682 | ERROR | test.lifecycle | Scenario failed: Access category via direct URL (known defect)
2026-01-09 17:32:52,864 | INFO | test.lifecycle | Added failed test result to report: Access category via direct URL (known defect)
2026-01-09 17:32:52,865 | INFO | test.lifecycle | HTML test report generated: reports/test_report.html
